term_id,count,Total,Total_dif_count
GO:0009306,66,572970,572904
GO:0031965,64,572970,572906
GO:0034975,64,572970,572906
GO:0071456,63,572970,572907
GO:0070059,63,572970,572907
GO:0006879,62,572970,572908
GO:0035580,62,572970,572908
GO:0010647,61,572970,572909
GO:0005637,60,572970,572910
GO:0072378,59,572970,572911
GO:0005930,58,572970,572912
GO:0009789,57,572970,572913
GO:0000324,57,572970,572913
GO:0071949,56,572970,572914
GO:0033743,56,572970,572914
GO:0051539,56,572970,572914
GO:0001520,56,572970,572914
GO:2000427,56,572970,572914
GO:1903895,55,572970,572915
GO:1904724,55,572970,572915
GO:0009960,54,572970,572916
GO:0022900,54,572970,572916
GO:0071466,52,572970,572918
GO:0060187,52,572970,572918
GO:0090331,51,572970,572919
GO:0042144,51,572970,572919
GO:0003810,50,572970,572920
GO:0002502,50,572970,572920
GO:0071333,49,572970,572921
GO:0006516,48,572970,572922
GO:0030168,46,572970,572924
GO:0051537,46,572970,572924
GO:0008113,45,572970,572925
GO:0046826,43,572970,572927
GO:0042995,43,572970,572927
GO:0046598,42,572970,572928
GO:0042470,41,572970,572929
GO:0031012,41,572970,572929
GO:1900103,41,572970,572929
GO:0010319,40,572970,572930
GO:0020005,40,572970,572930
GO:0080092,39,572970,572931
GO:0000137,38,572970,572932
GO:0016243,38,572970,572932
GO:0045335,36,572970,572934
GO:0009263,36,572970,572934
GO:0030070,36,572970,572934
GO:0000011,35,572970,572935
GO:0005790,35,572970,572935
GO:0046982,35,572970,572935
GO:0000326,34,572970,572936
GO:0072359,31,572970,572939
GO:0044571,31,572970,572939
GO:0070062,31,572970,572939
GO:0070527,30,572970,572940
GO:1901149,29,572970,572941
GO:0000224,29,572970,572941
GO:0009055,28,572970,572942
GO:0071455,26,572970,572944
GO:0044233,25,572970,572945
GO:0006241,25,572970,572945
GO:0010380,24,572970,572946
GO:0051536,23,572970,572947
GO:0060271,23,572970,572947
GO:0004550,22,572970,572948
GO:0005929,21,572970,572949
GO:0031092,21,572970,572949
GO:0071444,21,572970,572949
GO:0038155,20,572970,572950
GO:0010868,19,572970,572951
GO:0043157,19,572970,572951
GO:0009986,18,572970,572952
GO:0097068,17,572970,572953
GO:0019153,17,572970,572953
GO:0016222,16,572970,572954
GO:0035041,16,572970,572954
GO:0061692,16,572970,572954
GO:0036506,16,572970,572954
GO:0033595,16,572970,572954
GO:0097598,13,572970,572957
GO:0010043,12,572970,572958
GO:0010581,12,572970,572958
GO:1903334,12,572970,572958
GO:0010205,11,572970,572959
GO:0061779,11,572970,572959
GO:0006183,11,572970,572959
GO:0070732,10,572970,572960
GO:0000806,9,572970,572961
GO:1904148,8,572970,572962
GO:0046983,8,572970,572962
GO:0018401,7,572970,572963
GO:0010188,7,572970,572963
GO:0030435,6,572970,572964
GO:0051776,6,572970,572964
GO:0071731,5,572970,572965
GO:0042825,5,572970,572965
GO:0097619,5,572970,572965
GO:1901423,5,572970,572965
GO:0016055,5,572970,572965
GO:0009973,4,572970,572966
GO:0004604,4,572970,572966
GO:0120124,3,572970,572967
GO:0019379,2,572970,572968
GO:0106055,2,572970,572968
GO:1990355,2,572970,572968
GO:0000327,1,572970,572969
GO:2000170,1,572970,572969
GO:0016491,0,572970,572970
GO:0032991,0,572970,572970
GO:0007154,0,572970,572970
GO:0043231,0,572970,572970
GO:0016020,0,572970,572970
GO:0016853,0,572970,572970
GO:0006950,0,572970,572970
GO:0044423,0,572970,572970
GO:0046872,0,572970,572970
GO:0005737,0,572970,572970
GO:0033741,0,572970,572970
GO:0005886,0,572970,572970
GO:0043412,0,572970,572970
GO:0006228,0,572970,572970
GO:0008233,0,572970,572970
GO:0043594,0,572970,572970
GO:0030288,0,572970,572970
GO:0003723,0,572970,572970
GO:0005829,0,572970,572970
GO:0033644,0,572970,572970
GO:0005634,0,572970,572970
GO:0042597,0,572970,572970
